HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_Deck,Cabin_Number,Cabin_Side,Total Expenditure
0,1,2,2.0,0,0.0,0.0,0.0,0.0,0.0,1,6,660,1,0.0
1,1,0,45.0,0,0.0,0.0,0.0,0.0,0.0,1,1,119,0,0.0
0,0,0,13.0,0,2.1972245773362196,7.234177179749849,7.27655640271871,5.5254529391317835,2.1972245773362196,1,5,872,1,8.038189179973203
1,1,2,32.0,0,0.0,0.0,0.0,0.0,0.0,1,4,426,0,0.0
2,0,2,27.0,0,5.4680601411351315,6.551080335043404,5.808142489980444,3.4657359027997265,0.0,1,4,406,1,7.1693500166706
2,0,2,22.0,0,6.690842277418564,0.0,5.937536205082426,0.0,0.0,0,4,352,0,7.075808863978387
1,1,2,29.0,0,0.0,0.0,0.0,0.0,0.0,1,4,6,1,0.0
0,0,0,19.0,0,0.0,0.0,6.576469569048224,0.6931471805599453,0.0,1,4,579,1,6.577861357721047
1,0,2,31.0,0,0.0,7.83241092718792,0.6931471805599453,0.6931471805599453,0.0,1,1,183,1,7.833203948641057
0,0,2,30.0,0,0.0,6.206575926724928,0.0,0.0,5.0369526024136295,0,5,295,0,6.47543271670409
1,1,0,27.0,0,0.0,0.0,0.0,0.0,0.0,1,3,20,1,0.0
0,0,1,28.0,0,6.302618975744905,0.0,6.218600119691729,0.0,0.0,0,5,1400,0,6.953684210870537
2,1,2,44.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1779,1,0.0
0,0,2,18.0,0,0.0,2.9444389791664403,4.304065093204169,7.666221925662725,3.258096538021482,0,5,1427,0,7.719129840906732
2,1,2,16.0,0,0.0,0.0,0.0,0.0,0.0,1,5,416,1,0.0
0,0,2,7.0,0,0.0,0.0,0.0,0.0,0.0,1,6,94,0,0.0
0,0,2,19.0,0,0.0,0.0,4.382026634673881,0.0,0.0,0,5,499,0,4.382026634673881
1,0,2,40.0,0,0.0,7.423568444259167,0.0,5.598421958998375,1.6094379124341003,1,2,339,1,7.5745584842024805
0,2,1,23.0,0,4.174387269895637,1.6094379124341003,0.0,7.026426808699636,0.0,0,5,1463,0,7.085064293952548
1,1,0,29.0,0,0.0,0.0,0.0,0.0,0.0,1,1,86,1,0.0
1,1,0,35.0,0,0.0,0.0,0.0,0.0,0.0,1,3,250,0,0.0
2,0,2,56.0,0,8.454253391642363,0.0,7.886832998955057,3.9512437185814275,0.0,0,5,356,0,8.91018077801329
0,1,2,20.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1349,1,0.0
0,0,0,31.0,0,3.1780538303479458,0.0,0.0,0.0,2.8903717578961645,0,6,731,1,3.713572066704308
0,1,1,26.0,0,0.0,0.0,0.0,0.0,0.0,0,6,81,0,0.0
0,1,2,51.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1137,0,0.0
0,0,1,22.0,0,0.0,0.0,0.0,3.8918202981106265,6.483107351457199,1,6,1020,1,6.553933404025811
0,1,1,27.0,0,0.0,0.0,0.0,0.0,0.0,0,6,36,1,0.0
0,0,2,20.0,0,0.0,4.962844630259907,0.0,8.16876982367527,4.532599493153256,0,6,1317,0,8.232971790593437
0,1,2,19.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1312,1,0.0
0,0,2,9.0,0,0.0,0.0,0.0,0.0,0.0,1,6,926,1,0.0
0,0,2,27.0,0,0.0,0.0,0.0,6.302618975744905,4.499809670330265,0,5,1805,0,6.453624998892692
1,1,0,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,268,0,0.0
0,0,2,24.0,0,3.8712010109078907,0.0,2.3978952727983707,4.941642422609304,7.249215057114389,0,4,66,1,7.3796321526095525
0,0,2,18.0,0,0.0,0.0,0.0,6.555356891810665,0.0,0,5,998,0,6.555356891810665
1,0,2,55.0,0,0.0,8.69483715865908,5.0689042022202315,8.325063693631197,7.59337419312129,0,2,112,0,9.412382853382338
0,1,2,15.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1078,1,0.0
0,0,1,24.0,0,2.833213344056216,0.0,7.036148493750536,0.0,3.713572066704308,1,5,826,0,7.084226422097916
0,1,2,13.0,0,0.0,0.0,0.0,0.0,0.0,1,5,82,1,0.0
0,0,2,14.0,0,0.0,6.1675164908883415,5.521460917862246,5.181783550292085,0.0,0,5,1538,1,6.805722553416985
0,0,2,19.0,0,5.68697535633982,4.382026634673881,6.285998094508865,0.0,0.0,0,6,1194,0,6.813444599510896
1,0,2,44.0,0,2.9444389791664403,7.280697195384741,0.0,5.634789603169249,4.174387269895637,0,0,94,1,7.502738210754851
0,0,2,21.0,0,0.0,6.525029657843462,3.9512437185814275,4.882801922586371,0.6931471805599453,1,5,887,1,6.762729506931879
0,0,2,56.0,0,0.0,7.451241684987676,0.0,4.574710978503383,0.0,0,6,443,1,7.505492274737424
1,0,2,26.0,0,0.0,0.0,0.0,0.0,0.0,0,3,110,0,0.0
0,0,2,38.0,0,3.4965075614664802,7.059617628291383,0.0,3.970291913552122,7.568379267836522,0,5,1794,0,8.065579427282092
0,0,1,56.0,0,3.8501476017100584,2.4849066497880004,0.0,6.434546518787453,0.0,0,6,63,1,6.522092798170152
0,0,2,7.0,0,0.0,0.0,0.0,0.0,0.0,1,6,214,1,0.0
0,2,1,17.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1442,1,0.0
2,0,2,45.0,0,7.651595573857601,1.9459101490553132,0.0,0.0,0.0,0,4,8,1,7.6544432264701125
1,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,1,1,99,1,0.0
1,0,0,34.0,0,0.0,8.637284671674058,3.828641396489095,7.5688956634069955,4.04305126783455,0,2,13,0,8.945723572455398
2,2,2,26.0,0,0.0,0.0,0.0,0.0,0.0,1,5,24,0,0.0
1,0,2,37.0,0,1.9459101490553132,6.082218910376446,0.0,4.007333185232471,8.016647877057803,0,0,23,0,8.168486417126681
1,0,2,56.0,0,0.0,0.0,0.0,0.0,0.0,0,0,20,1,0.0
1,1,0,41.0,1,0.0,0.0,0.0,0.0,0.0,1,0,67,0,0.0
0,0,2,20.0,0,5.739792912179234,0.0,5.926926025970411,0.0,1.791759469228055,0,5,617,0,6.536691597591305
2,0,2,34.0,0,7.344719054149673,6.186208623900494,4.584967478670572,4.0943445622221,0.0,0,5,1131,1,7.691200097522863
0,0,1,21.0,0,0.6931471805599453,3.1354942159291497,0.0,6.476972362889683,1.0986122886681096,0,5,82,1,6.51471269087253
0,1,2,11.0,0,0.0,0.0,0.0,0.0,0.0,1,6,765,1,0.0
1,0,2,50.0,0,3.970291913552122,6.904750769961838,0.0,6.55250788703459,0.6931471805599453,0,4,449,1,7.4673710669175595
0,1,2,37.0,0,0.0,0.0,0.0,0.0,0.0,1,6,890,0,0.0
0,0,2,28.0,0,0.0,0.0,5.655991810819852,4.919980925828125,5.823045895483019,0,5,1454,0,6.6320017773956295
0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6,266,0,0.0
0,0,2,27.0,0,0.0,2.4849066497880004,6.677083461247136,0.0,4.442651256490317,1,6,1168,1,6.790097235513905
2,0,0,27.0,0,4.1588830833596715,0.0,7.58629630715272,0.0,0.0,1,5,1749,1,7.617759576608505
2,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1,5,124,0,0.0
0,0,2,20.0,0,0.6931471805599453,6.634633357861686,0.0,3.091042453358316,0.0,0,6,554,1,6.663132695990803
0,1,0,15.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1424,1,0.0
0,0,2,46.0,0,6.066108090103747,0.0,5.831882477283517,3.970291913552122,4.127134385045092,0,6,334,0,6.784457062637643
0,0,2,32.0,0,0.0,6.698268054115413,0.0,0.0,1.0986122886681096,0,6,536,1,6.70073110954781
0,0,2,27.0,0,0.0,1.9459101490553132,0.0,6.703188113240863,4.68213122712422,1,6,889,1,6.833031732786201
2,1,2,61.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1736,0,0.0
2,1,2,42.0,0,0.0,0.0,0.0,0.0,0.0,1,4,94,0,0.0
0,0,2,23.0,0,0.0,5.814130531825066,5.739792912179234,0.0,0.0,1,5,116,0,6.4692503167957724
0,1,1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,6,535,0,0.0
3,0,2,30.0,0,1.0986122886681096,0.0,1.791759469228055,0.6931471805599453,6.870053411798126,0,5,1411,1,6.878326468291325
0,1,2,9.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1448,1,0.0
0,0,2,19.0,0,5.564520407322694,0.0,5.476463551931511,4.941642422609304,2.1972245773362196,0,5,626,1,6.470799503782602
2,1,2,24.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1339,0,0.0
1,1,2,13.0,0,0.0,0.0,0.0,0.0,0.0,1,1,63,1,0.0
0,1,2,12.0,0,0.0,0.0,0.0,0.0,0.0,0,5,82,1,0.0
2,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,0,4,184,1,0.0
0,0,0,27.0,0,0.6931471805599453,5.703782474656201,0.6931471805599453,5.942799375126701,2.639057329615259,0,5,251,1,6.543911845564792
0,0,2,49.0,0,6.710523109452428,0.6931471805599453,6.53813982376767,5.680172609017068,2.639057329615259,0,6,740,0,7.504942068396171
0,1,1,27.0,0,0.0,0.0,0.0,0.0,0.0,0,6,559,0,0.0
0,1,2,52.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1154,1,0.0
0,0,2,47.0,0,5.986452005284438,0.0,5.7745515455444085,0.0,1.791759469228055,1,6,1278,0,6.584791392385716
1,2,0,32.0,0,4.007333185232471,8.23827262463303,0.0,3.091042453358316,1.791759469228055,1,0,17,1,8.259199362666282
2,1,2,23.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1828,0,0.0
1,1,2,15.0,0,0.0,0.0,0.0,0.0,0.0,1,1,323,1,0.0
0,0,2,39.0,0,0.0,0.0,0.0,0.0,0.0,1,6,74,1,0.0
1,1,0,40.0,0,0.0,0.0,0.0,0.0,0.0,1,4,445,1,0.0
0,0,2,15.0,0,0.0,0.0,6.669498089857879,0.0,0.0,0,4,120,0,6.669498089857879
2,0,2,38.0,0,3.8918202981106265,7.7488913372555315,1.791759469228055,2.4849066497880004,0.0,1,3,295,0,7.776115477098742
0,0,2,16.0,0,6.79346613258001,0.0,6.723832440821209,0.0,0.0,0,6,137,0,7.45182223652793
0,0,2,25.0,0,0.0,0.0,7.569927655242652,0.0,0.6931471805599453,1,5,11,1,7.570443252057374
0,1,2,30.0,2,0.0,0.0,0.0,0.0,0.0,1,6,318,0,0.0
0,1,2,46.0,0,0.0,0.0,0.0,0.0,0.0,0,6,791,0,0.0
0,0,2,45.0,0,4.189654742026425,4.1588830833596715,1.3862943611198906,6.570882962339584,3.332204510175204,0,5,871,1,6.77078942390898
0,0,3,41.0,0,2.0794415416798357,0.0,5.697093486505405,4.6913478822291435,5.891644211825771,0,6,717,1,6.651571873589727
2,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1111,1,0.0
1,0,2,64.0,0,0.0,7.460490305825338,2.4849066497880004,5.996452088619021,6.6240652277998935,0,1,19,1,7.973155433444133
1,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,1,2,192,1,0.0
0,0,2,25.0,0,0.0,1.3862943611198906,3.1780538303479458,6.542471960506805,0.0,0,5,897,1,6.579251212010101
1,2,2,30.0,0,0.0,8.073714641109857,0.0,1.0986122886681096,5.802118375377063,1,0,97,0,8.172164452111904
1,1,2,22.0,0,0.0,0.0,0.0,0.0,0.0,1,2,135,0,0.0
2,0,2,43.0,0,3.2188758248682006,0.6931471805599453,7.0630481633881725,0.0,0.0,1,5,1282,0,7.084226422097916
0,0,0,47.0,0,0.0,5.44673737166631,6.385194398997726,0.0,0.0,1,5,52,1,6.714170529909472
1,0,2,42.0,0,0.6931471805599453,9.035748861244139,0.0,0.0,6.2285110035911835,1,2,3,1,9.094368195723762
0,0,2,29.0,0,7.268920128193722,1.791759469228055,0.0,0.0,0.0,0,6,312,1,7.272398392570047
0,1,2,2.0,0,0.0,0.0,0.0,0.0,0.0,1,6,289,1,0.0
0,0,2,20.0,0,6.582025138892826,4.812184355372417,0.0,0.0,0.0,0,6,1304,0,6.738152494595957
0,0,2,25.0,0,0.0,0.0,6.551080335043404,3.784189633918261,3.1354942159291497,0,6,140,1,6.639875833826536
2,1,1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,5,147,1,0.0
0,1,2,26.0,0,0.0,0.0,0.0,0.0,0.0,0,6,933,0,0.0
1,1,2,16.0,0,0.0,0.0,0.0,0.0,0.0,1,3,122,0,0.0
0,1,1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,6,659,0,0.0
0,0,2,31.0,0,6.659293919683638,0.0,1.3862943611198906,4.060443010546419,0.0,0,6,1298,1,6.733401891837359
0,0,0,16.0,0,0.0,0.0,6.543911845564792,0.0,4.634728988229636,0,5,1313,0,6.680854678790215
0,1,0,58.0,0,0.0,0.0,0.0,0.0,0.0,1,6,348,1,0.0
0,1,2,14.0,0,0.0,0.0,0.0,0.0,0.0,1,6,581,0,0.0
0,0,2,15.0,0,7.676473646389156,0.0,0.0,4.0943445622221,1.0986122886681096,0,5,84,1,7.704361167910313
2,1,2,11.0,0,0.0,0.0,0.0,0.0,0.0,1,5,44,0,0.0
0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,6,739,0,0.0
1,0,2,33.0,0,0.0,5.986452005284438,0.0,7.1308988302963465,6.740519359606223,0,1,282,1,7.820840879907344
2,1,0,14.0,2,0.0,0.0,0.0,0.0,0.0,1,5,47,1,0.0
0,0,3,30.0,0,4.356708826689592,7.75190533307861,1.791759469228055,4.770684624465665,0.6931471805599453,1,5,948,0,7.8343923029104365
2,1,2,43.0,0,0.0,0.0,0.0,0.0,0.0,1,5,429,0,0.0
2,0,2,19.0,0,0.0,0.0,0.0,0.0,0.0,0,4,44,0,0.0
1,0,2,23.0,0,0.0,3.2188758248682006,0.0,4.02535169073515,8.924922401177469,0,2,42,1,8.935377071932177
0,0,2,21.0,0,6.539585955617669,0.0,0.0,0.0,2.772588722239781,0,6,1288,1,6.561030665896573
0,0,2,24.0,0,6.180016653652572,6.875232087276577,5.857933154483459,2.995732273553991,0.0,0,6,1269,1,7.505492274737424
3,1,0,39.0,0,0.0,0.0,0.0,0.0,0.0,1,5,1108,1,0.0
1,0,2,31.0,0,0.0,6.814542897259958,4.07753744390572,7.411556287811163,7.1049654482698426,0,1,311,1,8.253227645581772
1,0,2,39.0,0,0.0,7.9391588179567965,0.0,4.875197323201151,4.941642422609304,1,2,116,0,8.03073492409854
0,0,2,21.0,2,0.0,5.293304824724492,6.327936783729195,2.995732273553991,3.8066624897703196,1,5,912,1,6.710523109452428
1,0,2,43.0,0,0.0,9.099297073182859,0.0,5.0369526024136295,6.771935555839602,1,1,300,1,9.207736986106068
2,1,2,30.0,0,0.0,0.0,0.0,0.0,0.0,1,5,175,0,0.0
0,0,0,26.0,0,5.8111409929767,7.506591780070841,0.0,0.6931471805599453,0.0,1,5,311,0,7.675081857716334
1,0,2,60.0,0,0.0,8.142063283104147,0.0,8.605020901781758,2.3978952727983707,0,2,269,1,9.094255892955381
1,1,0,46.0,0,0.0,0.0,0.0,0.0,0.0,1,1,163,1,0.0
2,0,2,25.0,0,7.45876269238096,0.6931471805599453,5.247024072160486,0.6931471805599453,0.0,0,5,488,1,7.563200592358071
0,0,2,27.0,0,1.3862943611198906,6.674561391814426,0.0,5.8944028342648505,0.0,1,5,1175,1,7.053585727193677
0,0,2,29.0,0,4.499809670330265,7.453561871643373,0.0,0.0,1.3862943611198906,1,6,962,0,7.505492274737424
0,0,2,36.0,0,0.0,0.0,0.0,0.0,7.367708572374371,0,5,229,1,7.367708572374371
2,1,2,30.0,0,0.0,0.0,0.0,0.0,0.0,1,4,422,0,0.0
2,0,2,42.0,0,7.1846291527173145,0.0,7.234898420314831,0.0,0.0,0,3,233,0,7.902857191280582
0,0,2,15.0,0,0.0,1.9459101490553132,0.0,6.889591308354466,0.0,0,4,508,0,6.895682697747868
0,0,2,55.0,0,6.9363427358340495,2.9444389791664403,0.0,0.0,0.0,0,5,977,0,6.953684210870537
2,1,2,15.0,0,0.0,0.0,0.0,0.0,0.0,1,5,14,1,0.0
0,0,2,21.0,0,0.0,0.0,0.0,0.0,0.0,0,6,526,0,0.0
0,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,1,6,423,1,0.0
0,0,0,26.0,0,2.5649493574615367,4.276666119016055,0.0,4.6443908991413725,6.437751649736401,0,5,82,1,6.698268054115413
2,0,2,22.0,0,6.573680166960646,0.0,6.588926477533519,5.786897381366708,0.0,0,3,103,0,7.4770384723196965
1,0,2,33.0,0,0.0,7.349230824613334,8.246433786160365,0.0,7.269616749608169,1,2,97,1,8.825118970345061
2,1,2,50.0,0,0.0,0.0,0.0,0.0,0.0,1,4,600,1,0.0
1,0,0,43.0,0,0.0,7.442492722794441,0.0,5.616771097666572,7.6290038896529575,0,1,201,0,8.30325712085294
0,0,2,19.0,0,3.1780538303479458,6.492239835020471,0.0,2.772588722239781,4.736198448394496,0,6,1441,0,6.698268054115413
0,1,0,9.0,0,0.0,0.0,0.0,0.0,0.0,1,6,18,1,0.0
1,1,0,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1,227,1,0.0
0,0,0,18.0,0,5.236441962829949,2.5649493574615367,0.0,7.15305163493748,0.0,0,5,209,0,7.29776828253138
2,0,2,26.0,0,7.949091499830517,4.68213122712422,8.400209835930418,2.772588722239781,1.6094379124341003,0,5,82,0,8.910045761473558
0,1,2,29.0,0,0.0,0.0,0.0,0.0,0.0,0,6,561,1,0.0
0,0,2,38.0,0,6.317164686747284,0.0,0.0,4.477336814478207,5.497168225293202,0,6,280,0,6.784457062637643
0,1,3,15.0,0,0.0,0.0,0.0,0.0,0.0,1,6,135,0,0.0
0,1,1,18.0,0,0.0,0.0,0.0,0.0,0.0,1,6,716,1,0.0
0,0,0,23.0,0,0.0,0.0,6.171700597410915,8.4252971767117,0.0,0,6,1037,1,8.524962928680598
0,0,2,19.0,0,0.6931471805599453,5.393627546352361,6.513230110912307,1.0986122886681096,2.4849066497880004,1,6,26,0,6.810142450115136
1,0,2,58.0,0,1.0986122886681096,0.6931471805599453,2.70805020110221,1.0986122886681096,7.050989447068045,0,0,29,1,7.067319848653476
2,0,2,28.0,0,6.261491684321042,0.0,0.0,6.878326468291325,0.0,0,5,600,0,7.309212365692763
0,1,2,15.0,0,0.0,0.0,0.0,0.0,0.0,1,6,963,1,0.0
1,1,0,47.0,1,0.0,0.0,0.0,0.0,0.0,1,0,96,1,0.0
1,0,2,48.0,0,0.0,0.0,0.0,0.0,0.0,0,2,32,0,0.0
1,0,2,46.0,0,0.0,8.089482474360754,6.635946555686647,8.39479954320217,0.0,0,1,230,1,9.041211408968211
0,0,2,63.0,0,0.0,4.820281565605037,6.863803391452954,3.258096538021482,0.0,1,5,137,0,7.007600613951853
0,0,3,28.0,0,5.438079308923196,6.635946555686647,0.0,0.0,1.9459101490553132,1,4,377,1,6.904750769961838
0,0,2,48.0,0,1.0986122886681096,0.0,4.430816798843313,6.380122536899765,5.455321115357702,0,6,711,0,6.811244378601294
1,1,0,41.0,0,0.0,0.0,0.0,0.0,0.0,1,2,157,0,0.0
1,0,2,22.0,0,0.0,9.0918946167697,3.091042453358316,7.6984827878809465,2.995732273553991,1,3,56,0,9.3171298661577
1,0,2,30.0,1,0.0,6.450470422144176,0.0,6.513230110912307,7.728855823852543,0,2,91,0,8.182559264068665
0,0,2,40.0,0,0.0,0.0,4.04305126783455,0.6931471805599453,6.466144724237619,0,5,1099,1,6.551080335043404
2,0,2,55.0,0,5.932245187448011,0.0,6.755768921984256,0.0,3.4657359027997265,1,3,232,1,7.143617602704121
0,0,2,19.0,0,4.3694478524670215,0.0,0.0,6.311734809152915,0.0,0,6,348,0,6.444131256700441
0,1,1,22.0,0,0.0,0.0,0.0,0.0,0.0,1,6,186,0,0.0
1,0,2,26.0,0,0.0,6.53813982376767,0.6931471805599453,6.93828448401696,7.729295674310482,0,0,101,1,8.292798858200374
1,0,2,32.0,0,0.0,4.499809670330265,0.0,9.027738775974909,0.6931471805599453,0,2,255,1,9.038483865029992
1,1,0,20.0,0,0.0,0.0,0.0,0.0,0.0,1,1,150,0,0.0
0,0,2,22.0,0,0.0,1.791759469228055,0.0,7.3901814282264295,0.0,0,4,30,0,7.393263094763838
0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1023,0,0.0
3,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,0,6,369,1,0.0
0,0,2,19.0,0,3.295836866004329,5.749392985908253,6.154858094016418,0.0,0.0,0,6,362,1,6.697034247666484
1,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,1,2,86,0,0.0
0,0,2,7.0,0,0.0,0.0,0.0,0.0,0.0,1,6,92,1,0.0
0,1,2,22.0,0,0.0,0.0,0.0,0.0,0.0,0,6,619,0,0.0
0,0,2,10.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1271,0,0.0
2,0,2,19.0,1,4.127134385045092,6.664409020350408,4.709530201312334,0.0,0.0,1,4,396,0,6.86171134048073
0,0,2,19.0,0,0.0,0.0,6.551080335043404,2.9444389791664403,4.465908118654584,1,5,917,1,6.6895992691789665
1,1,2,27.0,0,0.0,0.0,0.0,0.0,0.0,1,3,72,1,0.0
0,0,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,6,188,1,0.0
2,0,0,24.0,0,6.418364935936212,5.7899601708972535,3.8501476017100584,4.477336814478207,0.0,1,5,859,0,6.977281341630747
0,2,2,33.0,0,6.966967138613983,6.0014148779611505,0.6931471805599453,0.0,4.983606621708336,0,4,587,0,7.383989457978509
2,1,2,39.0,0,0.0,0.0,0.0,0.0,0.0,1,5,508,1,0.0
2,0,2,32.0,1,7.821242083523558,0.0,0.0,4.919980925828125,1.6094379124341003,0,5,189,0,7.87587915949631
0,0,1,36.0,0,6.601230118728877,0.0,1.0986122886681096,0.0,0.0,0,5,822,1,6.6039438246004725
0,0,2,46.0,0,0.0,0.0,0.6931471805599453,0.0,7.483806687665835,0,6,1215,1,7.484368643286131
2,0,2,33.0,0,4.663439094112067,0.0,6.992096427415888,0.0,0.0,0,5,115,1,7.084226422097916
0,0,2,38.0,0,0.6931471805599453,0.0,5.666426688112432,0.0,6.322565239927284,1,6,461,1,6.740519359606223
0,1,2,15.0,0,0.0,0.0,0.0,0.0,0.0,0,6,99,1,0.0
0,0,0,32.0,0,0.6931471805599453,0.0,0.0,2.302585092994046,6.498282149476434,0,5,1666,0,6.513230110912307
3,1,2,20.0,0,0.0,0.0,0.0,0.0,0.0,0,6,305,1,0.0
2,1,2,42.0,0,0.0,0.0,0.0,0.0,0.0,1,4,423,1,0.0
2,0,0,19.0,0,5.318119993844216,0.0,5.153291594497779,7.2868764117507,5.0238805208462765,0,5,1789,0,7.594381242551817
2,0,2,26.0,1,7.168579897264035,0.0,4.143134726391533,0.0,5.8998973535824915,0,3,286,0,7.452402451223638
2,2,0,19.0,0,0.0,0.0,0.0,0.0,0.0,1,5,144,1,0.0
2,0,2,25.0,0,6.827629234502852,0.0,0.6931471805599453,4.5217885770490405,0.0,0,4,327,0,6.922643891475888
0,0,2,18.0,0,6.39024066706535,4.90527477843843,2.0794415416798357,0.0,0.0,0,5,1669,0,6.602587892189336
1,1,0,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,78,0,0.0
1,1,0,22.0,0,0.0,0.0,0.0,0.0,0.0,1,1,269,1,0.0
0,0,2,21.0,0,4.859812404361672,4.6913478822291435,2.1972245773362196,1.3862943611198906,6.259581464064923,0,6,1461,0,6.646390514847729
0,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1000,0,0.0
1,1,0,48.0,0,0.0,0.0,0.0,0.0,0.0,1,0,82,1,0.0
1,1,0,18.0,0,0.0,0.0,0.0,0.0,0.0,1,1,177,0,0.0
2,1,0,56.0,0,0.0,0.0,0.0,0.0,0.0,1,3,96,0,0.0
0,0,2,19.0,0,0.0,1.0986122886681096,2.70805020110221,6.628041376179533,0.0,0,6,608,0,6.648984550024776
1,1,2,40.0,0,0.0,0.0,0.0,0.0,0.0,1,0,96,1,0.0
2,1,2,46.0,0,0.0,0.0,0.0,0.0,0.0,1,5,712,1,0.0
0,0,2,35.0,0,6.555356891810665,4.653960350157523,1.791759469228055,4.343805421853684,0.0,1,6,885,1,6.78897174299217
1,0,0,33.0,0,0.0,7.611347717403621,0.0,7.505492274737424,5.209486152841421,0,0,51,1,8.299037181613066
1,0,2,31.0,0,0.0,6.833031732786201,0.0,7.923348211930154,0.6931471805599453,0,2,327,1,8.213110697596676
0,0,2,55.0,0,3.9889840465642745,6.673297967767654,3.6375861597263857,0.0,0.0,1,5,108,1,6.78105762593618
0,0,1,25.0,0,3.091042453358316,6.616065185132817,4.02535169073515,0.0,1.6094379124341003,0,5,563,0,6.717804695023691
